disability_group,age,state,district,supply_class,average_payment_annual,participant_count
Down Syndrome,19 to 24,VIC,Southern Melbourne,Core,85000,17
Down Syndrome,19 to 24,VIC,Western Melbourne,Core,64000,17
Down Syndrome,25 to 34,VIC,Barwon,Capacity Building,139000,20
Down Syndrome,25 to 34,VIC,Barwon,Core,175000,18
Down Syndrome,25 to 34,VIC,Bayside Peninsula,Capacity Building,122000,32
Down Syndrome,25 to 34,VIC,Bayside Peninsula,Core,131000,30
Down Syndrome,25 to 34,VIC,Brimbank Melton,Capacity Building,136000,20
Down Syndrome,25 to 34,VIC,Brimbank Melton,Core,94000,18
Down Syndrome,25 to 34,VIC,Goulburn,Core,97000,17
Down Syndrome,25 to 34,VIC,Hume Moreland,Capacity Building,167000,12
Down Syndrome,25 to 34,VIC,Hume Moreland,Core,67000,23
Down Syndrome,25 to 34,VIC,Inner East Melbourne,Capacity Building,103000,17
Down Syndrome,25 to 34,VIC,Inner East Melbourne,Core,92000,27
Down Syndrome,25 to 34,VIC,Inner Gippsland,Core,36000,19
Down Syndrome,25 to 34,VIC,Loddon,Capacity Building,93000,17
Down Syndrome,25 to 34,VIC,Loddon,Core,135000,13
Down Syndrome,25 to 34,VIC,North East Melbourne,Capacity Building,93000,32
Down Syndrome,25 to 34,VIC,North East Melbourne,Core,57000,26
Down Syndrome,25 to 34,VIC,Outer East Melbourne,Capacity Building,121000,25
Down Syndrome,25 to 34,VIC,Outer East Melbourne,Core,134000,24
Down Syndrome,25 to 34,VIC,Southern Melbourne,Core,129000,23
Down Syndrome,25 to 34,VIC,Western Melbourne,Capacity Building,116000,18
Down Syndrome,25 to 34,VIC,Western Melbourne,Core,83000,20
Down Syndrome,35 to 44,VIC,Barwon,Capacity Building,152000,18
Down Syndrome,35 to 44,VIC,Barwon,Core,242000,15
Down Syndrome,35 to 44,VIC,Bayside Peninsula,Capacity Building,140000,28
Down Syndrome,35 to 44,VIC,Bayside Peninsula,Core,154000,38
Down Syndrome,35 to 44,VIC,Brimbank Melton,Core,180000,14
Down Syndrome,35 to 44,VIC,Central Highlands,Core,105000,12
Down Syndrome,35 to 44,VIC,Goulburn,Core,117000,14
Down Syndrome,35 to 44,VIC,Inner East Melbourne,Capacity Building,117000,21
Down Syndrome,35 to 44,VIC,Inner East Melbourne,Core,181000,24
Down Syndrome,35 to 44,VIC,Inner Gippsland,Core,44000,17
Down Syndrome,35 to 44,VIC,Loddon,Core,141000,22
Down Syndrome,35 to 44,VIC,North East Melbourne,Capacity Building,110000,20
Down Syndrome,35 to 44,VIC,North East Melbourne,Core,115000,18
Down Syndrome,35 to 44,VIC,Outer East Melbourne,Capacity Building,129000,13
Down Syndrome,35 to 44,VIC,Outer East Melbourne,Core,79000,24
Down Syndrome,35 to 44,VIC,Outer Gippsland,Core,39000,11
Down Syndrome,35 to 44,VIC,Southern Melbourne,Capacity Building,129000,18
Down Syndrome,35 to 44,VIC,Southern Melbourne,Core,142000,21
Down Syndrome,35 to 44,VIC,Western Melbourne,Core,60000,14
Down Syndrome,45 to 54,VIC,Bayside Peninsula,Capacity Building,137000,17
Down Syndrome,45 to 54,VIC,Bayside Peninsula,Core,252000,27
Down Syndrome,45 to 54,VIC,Inner East Melbourne,Capacity Building,101000,22
Down Syndrome,45 to 54,VIC,Inner East Melbourne,Core,315000,17
Down Syndrome,45 to 54,VIC,North East Melbourne,Capacity Building,159000,24
Down Syndrome,45 to 54,VIC,North East Melbourne,Core,335000,24
Down Syndrome,45 to 54,VIC,Western District,Core,176000,17
Down Syndrome,55 to 64,VIC,Inner East Melbourne,Core,346000,12
Down Syndrome,55 to 64,VIC,North East Melbourne,Core,268000,20
Down Syndrome,7 to 14,VIC,Barwon,Capacity Building,56000,18
Down Syndrome,7 to 14,VIC,Barwon,Core,63000,14
Down Syndrome,7 to 14,VIC,Bayside Peninsula,Capacity Building,47000,13
Down Syndrome,7 to 14,VIC,Bayside Peninsula,Core,52000,27
Down Syndrome,7 to 14,VIC,Brimbank Melton,Capacity Building,64000,11
Down Syndrome,7 to 14,VIC,Brimbank Melton,Core,65000,21
Down Syndrome,7 to 14,VIC,Hume Moreland,Capacity Building,48000,11
Down Syndrome,7 to 14,VIC,Hume Moreland,Core,79000,21
Down Syndrome,7 to 14,VIC,Inner East Melbourne,Capacity Building,28000,25
Down Syndrome,7 to 14,VIC,Inner East Melbourne,Core,41000,12
Down Syndrome,7 to 14,VIC,North East Melbourne,Capacity Building,35000,29
Down Syndrome,7 to 14,VIC,North East Melbourne,Core,56000,17
Down Syndrome,7 to 14,VIC,Southern Melbourne,Capacity Building,25000,24
Down Syndrome,7 to 14,VIC,Southern Melbourne,Core,51000,33
Down Syndrome,7 to 14,VIC,Western Melbourne,Capacity Building,20000,26
Down Syndrome,7 to 14,VIC,Western Melbourne,Core,55000,25
Global developmental delay,0 to 6,VIC,Barwon,Capacity Building,21000,72
Global developmental delay,0 to 6,VIC,Barwon,Core,6000,30
Global developmental delay,0 to 6,VIC,Bayside Peninsula,Capacity Building,42000,62
Global developmental delay,0 to 6,VIC,Bayside Peninsula,Core,4000,74
Global developmental delay,0 to 6,VIC,Brimbank Melton,Capacity Building,27000,107
Global developmental delay,0 to 6,VIC,Brimbank Melton,Core,6000,77
Global developmental delay,0 to 6,VIC,Central Highlands,Capacity Building,17000,59
Global developmental delay,0 to 6,VIC,Central Highlands,Core,4000,22
Global developmental delay,0 to 6,VIC,Goulburn,Capacity Building,20000,21
Global developmental delay,0 to 6,VIC,Goulburn,Core,3000,15
Global developmental delay,0 to 6,VIC,Hume Moreland,Capacity Building,27000,90
Global developmental delay,0 to 6,VIC,Hume Moreland,Core,10000,70
Global developmental delay,0 to 6,VIC,Inner East Melbourne,Capacity Building,31000,53
Global developmental delay,0 to 6,VIC,Inner East Melbourne,Core,4000,45
Global developmental delay,0 to 6,VIC,Inner Gippsland,Capacity Building,18000,41
Global developmental delay,0 to 6,VIC,Inner Gippsland,Core,9000,36
Global developmental delay,0 to 6,VIC,Loddon,Capacity Building,19000,26
Global developmental delay,0 to 6,VIC,Loddon,Core,12000,16
Global developmental delay,0 to 6,VIC,Mallee,Capacity Building,22000,11
Global developmental delay,0 to 6,VIC,North East Melbourne,Capacity Building,29000,90
Global developmental delay,0 to 6,VIC,North East Melbourne,Core,4000,71
Global developmental delay,0 to 6,VIC,Outer East Melbourne,Capacity Building,32000,53
Global developmental delay,0 to 6,VIC,Outer East Melbourne,Core,5000,54
Global developmental delay,0 to 6,VIC,Southern Melbourne,Capacity Building,24000,149
Global developmental delay,0 to 6,VIC,Southern Melbourne,Core,9000,86
Global developmental delay,0 to 6,VIC,Western District,Capacity Building,17000,36
Global developmental delay,0 to 6,VIC,Western Melbourne,Capacity Building,25000,170
Global developmental delay,0 to 6,VIC,Western Melbourne,Core,9000,115
Global developmental delay,7 to 14,VIC,Barwon,Capacity Building,9000,31
Global developmental delay,7 to 14,VIC,Bayside Peninsula,Capacity Building,22000,20
Global developmental delay,7 to 14,VIC,Bayside Peninsula,Core,16000,18
Global developmental delay,7 to 14,VIC,Brimbank Melton,Capacity Building,20000,22
Global developmental delay,7 to 14,VIC,Brimbank Melton,Core,8000,19
Global developmental delay,7 to 14,VIC,Central Highlands,Capacity Building,18000,15
Global developmental delay,7 to 14,VIC,Hume Moreland,Capacity Building,21000,24
Global developmental delay,7 to 14,VIC,Hume Moreland,Core,11000,29
Global developmental delay,7 to 14,VIC,Loddon,Capacity Building,6000,13
Global developmental delay,7 to 14,VIC,North East Melbourne,Capacity Building,8000,26
Global developmental delay,7 to 14,VIC,Outer East Melbourne,Capacity Building,13000,23
Global developmental delay,7 to 14,VIC,Outer East Melbourne,Core,5000,14
Global developmental delay,7 to 14,VIC,Southern Melbourne,Capacity Building,17000,23
Global developmental delay,7 to 14,VIC,Western Melbourne,Capacity Building,17000,34
Hearing Impairment,0 to 6,VIC,Barwon,Capacity Building,12000,24
Hearing Impairment,0 to 6,VIC,Barwon,Core,2000,21
Hearing Impairment,0 to 6,VIC,Bayside Peninsula,Capacity Building,20000,34
Hearing Impairment,0 to 6,VIC,Bayside Peninsula,Core,3000,51
Hearing Impairment,0 to 6,VIC,Brimbank Melton,Capacity Building,17000,31
Hearing Impairment,0 to 6,VIC,Brimbank Melton,Core,3000,28
Hearing Impairment,0 to 6,VIC,Central Highlands,Capacity Building,10000,23
Hearing Impairment,0 to 6,VIC,Central Highlands,Core,2000,12
Hearing Impairment,0 to 6,VIC,Hume Moreland,Capacity Building,11000,45
Hearing Impairment,0 to 6,VIC,Hume Moreland,Core,4000,25
Hearing Impairment,0 to 6,VIC,Inner East Melbourne,Capacity Building,15000,44
Hearing Impairment,0 to 6,VIC,Inner East Melbourne,Core,2000,38
Hearing Impairment,0 to 6,VIC,Inner Gippsland,Capacity Building,12000,20
Hearing Impairment,0 to 6,VIC,Inner Gippsland,Core,5000,12
Hearing Impairment,0 to 6,VIC,Loddon,Capacity Building,18000,13
Hearing Impairment,0 to 6,VIC,Loddon,Core,7000,17
Hearing Impairment,0 to 6,VIC,North East Melbourne,Capacity Building,10000,64
Hearing Impairment,0 to 6,VIC,North East Melbourne,Core,4000,33
Hearing Impairment,0 to 6,VIC,Outer East Melbourne,Capacity Building,25000,18
Hearing Impairment,0 to 6,VIC,Outer East Melbourne,Core,4000,39
Hearing Impairment,0 to 6,VIC,Southern Melbourne,Capacity Building,12000,56
Hearing Impairment,0 to 6,VIC,Southern Melbourne,Core,4000,52
Hearing Impairment,0 to 6,VIC,Western Melbourne,Capacity Building,14000,67
Hearing Impairment,0 to 6,VIC,Western Melbourne,Core,6000,51
Hearing Impairment,15 to 18,VIC,Bayside Peninsula,Capacity Building,8000,22
Hearing Impairment,15 to 18,VIC,Bayside Peninsula,Core,5000,26
Hearing Impairment,15 to 18,VIC,Brimbank Melton,Core,8000,20
Hearing Impairment,15 to 18,VIC,Hume Moreland,Capacity Building,13000,17
Hearing Impairment,15 to 18,VIC,Hume Moreland,Core,8000,24
Hearing Impairment,15 to 18,VIC,Inner East Melbourne,Core,2000,26
Hearing Impairment,15 to 18,VIC,North East Melbourne,Core,2000,18
Hearing Impairment,15 to 18,VIC,Outer East Melbourne,Capacity Building,8000,17
Hearing Impairment,15 to 18,VIC,Outer East Melbourne,Core,3000,25
Hearing Impairment,15 to 18,VIC,Southern Melbourne,Capacity Building,11000,19
Hearing Impairment,15 to 18,VIC,Southern Melbourne,Core,4000,28
Hearing Impairment,15 to 18,VIC,Western Melbourne,Capacity Building,15000,13
Hearing Impairment,15 to 18,VIC,Western Melbourne,Core,7000,22
Hearing Impairment,19 to 24,VIC,Bayside Peninsula,Core,2000,28
Hearing Impairment,19 to 24,VIC,Brimbank Melton,Core,9000,17
Hearing Impairment,19 to 24,VIC,Hume Moreland,Core,5000,34
Hearing Impairment,19 to 24,VIC,Inner East Melbourne,Capacity Building,13000,13
Hearing Impairment,19 to 24,VIC,Inner East Melbourne,Core,4000,30
Hearing Impairment,19 to 24,VIC,North East Melbourne,Capacity Building,13000,14
Hearing Impairment,19 to 24,VIC,North East Melbourne,Core,3000,26
Hearing Impairment,19 to 24,VIC,Outer East Melbourne,Core,4000,31
Hearing Impairment,19 to 24,VIC,Southern Melbourne,Capacity Building,27000,18
Hearing Impairment,19 to 24,VIC,Southern Melbourne,Core,7000,21
Hearing Impairment,19 to 24,VIC,Western Melbourne,Capacity Building,22000,15
Hearing Impairment,19 to 24,VIC,Western Melbourne,Core,9000,32
Hearing Impairment,25 to 34,VIC,Barwon,Core,2000,23
Hearing Impairment,25 to 34,VIC,Bayside Peninsula,Capacity Building,22000,19
Hearing Impairment,25 to 34,VIC,Bayside Peninsula,Core,9000,53
Hearing Impairment,25 to 34,VIC,Brimbank Melton,Capacity Building,18000,14
Hearing Impairment,25 to 34,VIC,Brimbank Melton,Core,7000,29
Hearing Impairment,25 to 34,VIC,Hume Moreland,Core,5000,27
Hearing Impairment,25 to 34,VIC,Inner East Melbourne,Core,4000,34
Hearing Impairment,25 to 34,VIC,Inner Gippsland,Core,10000,16
Hearing Impairment,25 to 34,VIC,Loddon,Core,9000,19
Hearing Impairment,25 to 34,VIC,North East Melbourne,Capacity Building,9000,17
Hearing Impairment,25 to 34,VIC,North East Melbourne,Core,6000,53
Hearing Impairment,25 to 34,VIC,Outer East Melbourne,Core,2000,35
Hearing Impairment,25 to 34,VIC,Southern Melbourne,Capacity Building,8000,29
Hearing Impairment,25 to 34,VIC,Southern Melbourne,Core,11000,39
Hearing Impairment,25 to 34,VIC,Western Melbourne,Capacity Building,17000,24
Hearing Impairment,25 to 34,VIC,Western Melbourne,Core,18000,36
Hearing Impairment,35 to 44,VIC,Bayside Peninsula,Capacity Building,9000,15
Hearing Impairment,35 to 44,VIC,Bayside Peninsula,Core,10000,33
Hearing Impairment,35 to 44,VIC,Brimbank Melton,Core,15000,17
Hearing Impairment,35 to 44,VIC,Hume Moreland,Capacity Building,12000,16
Hearing Impairment,35 to 44,VIC,Hume Moreland,Core,7000,33
Hearing Impairment,35 to 44,VIC,Inner East Melbourne,Core,9000,23
Hearing Impairment,35 to 44,VIC,Loddon,Core,5000,11
Hearing Impairment,35 to 44,VIC,North East Melbourne,Capacity Building,7000,22
Hearing Impairment,35 to 44,VIC,North East Melbourne,Core,11000,35
Hearing Impairment,35 to 44,VIC,Outer East Melbourne,Capacity Building,13000,15
Hearing Impairment,35 to 44,VIC,Outer East Melbourne,Core,11000,12
Hearing Impairment,35 to 44,VIC,Southern Melbourne,Capacity Building,15000,19
Hearing Impairment,35 to 44,VIC,Southern Melbourne,Core,16000,24
Hearing Impairment,35 to 44,VIC,Western Melbourne,Capacity Building,9000,21
Hearing Impairment,35 to 44,VIC,Western Melbourne,Core,13000,38
Hearing Impairment,45 to 54,VIC,Barwon,Capacity Building,6000,17
Hearing Impairment,45 to 54,VIC,Barwon,Core,7000,20
Hearing Impairment,45 to 54,VIC,Bayside Peninsula,Capacity Building,15000,33
Hearing Impairment,45 to 54,VIC,Bayside Peninsula,Core,13000,34
Hearing Impairment,45 to 54,VIC,Brimbank Melton,Core,18000,21
Hearing Impairment,45 to 54,VIC,Central Highlands,Core,8000,12
Hearing Impairment,45 to 54,VIC,Hume Moreland,Capacity Building,15000,15
Hearing Impairment,45 to 54,VIC,Hume Moreland,Core,19000,22
Hearing Impairment,45 to 54,VIC,Inner East Melbourne,Capacity Building,14000,16
Hearing Impairment,45 to 54,VIC,Inner East Melbourne,Core,11000,29
Hearing Impairment,45 to 54,VIC,Loddon,Core,17000,15
Hearing Impairment,45 to 54,VIC,North East Melbourne,Capacity Building,10000,30
Hearing Impairment,45 to 54,VIC,North East Melbourne,Core,6000,40
Hearing Impairment,45 to 54,VIC,Outer East Melbourne,Core,8000,25
Hearing Impairment,45 to 54,VIC,Southern Melbourne,Capacity Building,21000,29
Hearing Impairment,45 to 54,VIC,Southern Melbourne,Core,17000,43
Hearing Impairment,45 to 54,VIC,Western Melbourne,Capacity Building,12000,33
Hearing Impairment,45 to 54,VIC,Western Melbourne,Core,8000,30
Hearing Impairment,55 to 64,VIC,Barwon,Capacity Building,6000,22
Hearing Impairment,55 to 64,VIC,Barwon,Core,3000,27
Hearing Impairment,55 to 64,VIC,Bayside Peninsula,Capacity Building,14000,39
Hearing Impairment,55 to 64,VIC,Bayside Peninsula,Core,11000,59
Hearing Impairment,55 to 64,VIC,Brimbank Melton,Core,10000,19
Hearing Impairment,55 to 64,VIC,Central Highlands,Capacity Building,7000,12
Hearing Impairment,55 to 64,VIC,Central Highlands,Core,4000,21
Hearing Impairment,55 to 64,VIC,Hume Moreland,Capacity Building,24000,21
Hearing Impairment,55 to 64,VIC,Hume Moreland,Core,16000,29
Hearing Impairment,55 to 64,VIC,Inner East Melbourne,Capacity Building,14000,25
Hearing Impairment,55 to 64,VIC,Inner East Melbourne,Core,12000,38
Hearing Impairment,55 to 64,VIC,Inner Gippsland,Core,9000,18
Hearing Impairment,55 to 64,VIC,Loddon,Capacity Building,22000,14
Hearing Impairment,55 to 64,VIC,Loddon,Core,9000,22
Hearing Impairment,55 to 64,VIC,North East Melbourne,Capacity Building,14000,34
Hearing Impairment,55 to 64,VIC,North East Melbourne,Core,14000,34
Hearing Impairment,55 to 64,VIC,Outer East Melbourne,Capacity Building,14000,22
Hearing Impairment,55 to 64,VIC,Outer East Melbourne,Core,9000,29
Hearing Impairment,55 to 64,VIC,Southern Melbourne,Capacity Building,15000,37
Hearing Impairment,55 to 64,VIC,Southern Melbourne,Core,21000,28
Hearing Impairment,55 to 64,VIC,Western Melbourne,Capacity Building,18000,20
Hearing Impairment,55 to 64,VIC,Western Melbourne,Core,14000,24
Hearing Impairment,65+,VIC,Barwon,Capacity Building,5000,13
Hearing Impairment,65+,VIC,Bayside Peninsula,Core,10000,20
Hearing Impairment,65+,VIC,Loddon,Core,3000,14
Hearing Impairment,65+,VIC,North East Melbourne,Core,10000,18
Hearing Impairment,65+,VIC,Southern Melbourne,Core,14000,15
Hearing Impairment,7 to 14,VIC,Barwon,Capacity Building,6000,25
Hearing Impairment,7 to 14,VIC,Barwon,Core,1000,19
Hearing Impairment,7 to 14,VIC,Bayside Peninsula,Capacity Building,14000,64
Hearing Impairment,7 to 14,VIC,Bayside Peninsula,Core,3000,73
Hearing Impairment,7 to 14,VIC,Brimbank Melton,Capacity Building,15000,36
Hearing Impairment,7 to 14,VIC,Brimbank Melton,Core,8000,41
Hearing Impairment,7 to 14,VIC,Central Highlands,Capacity Building,7000,23
Hearing Impairment,7 to 14,VIC,Central Highlands,Core,1000,19
Hearing Impairment,7 to 14,VIC,Goulburn,Capacity Building,9000,14
Hearing Impairment,7 to 14,VIC,Goulburn,Core,7000,14
Hearing Impairment,7 to 14,VIC,Hume Moreland,Capacity Building,18000,33
Hearing Impairment,7 to 14,VIC,Hume Moreland,Core,8000,63
Hearing Impairment,7 to 14,VIC,Inner East Melbourne,Capacity Building,10000,38
Hearing Impairment,7 to 14,VIC,Inner East Melbourne,Core,1000,60
Hearing Impairment,7 to 14,VIC,Inner Gippsland,Capacity Building,11000,27
Hearing Impairment,7 to 14,VIC,Inner Gippsland,Core,2000,23
Hearing Impairment,7 to 14,VIC,Loddon,Core,3000,23
Hearing Impairment,7 to 14,VIC,North East Melbourne,Capacity Building,10000,61
Hearing Impairment,7 to 14,VIC,North East Melbourne,Core,2000,67
Hearing Impairment,7 to 14,VIC,Outer East Melbourne,Capacity Building,12000,36
Hearing Impairment,7 to 14,VIC,Outer East Melbourne,Core,4000,64
Hearing Impairment,7 to 14,VIC,Ovens Murray,Capacity Building,9000,13
Hearing Impairment,7 to 14,VIC,Southern Melbourne,Capacity Building,13000,60
Hearing Impairment,7 to 14,VIC,Southern Melbourne,Core,5000,64
Hearing Impairment,7 to 14,VIC,Western District,Capacity Building,13000,11
Hearing Impairment,7 to 14,VIC,Western District,Core,3000,21
Hearing Impairment,7 to 14,VIC,Western Melbourne,Capacity Building,12000,51
Hearing Impairment,7 to 14,VIC,Western Melbourne,Core,5000,60
Intellectual Disability,0 to 6,VIC,Barwon,Capacity Building,55000,22
Intellectual Disability,0 to 6,VIC,Barwon,Core,18000,15
Intellectual Disability,0 to 6,VIC,Bayside Peninsula,Capacity Building,43000,16
Intellectual Disability,0 to 6,VIC,Bayside Peninsula,Core,20000,24
Intellectual Disability,0 to 6,VIC,Brimbank Melton,Capacity Building,32000,21
Intellectual Disability,0 to 6,VIC,Brimbank Melton,Core,35000,14
Intellectual Disability,0 to 6,VIC,Central Highlands,Core,9000,17
Intellectual Disability,0 to 6,VIC,Hume Moreland,Capacity Building,44000,22
Intellectual Disability,0 to 6,VIC,Hume Moreland,Core,44000,24
Intellectual Disability,0 to 6,VIC,Inner East Melbourne,Capacity Building,44000,16
Intellectual Disability,0 to 6,VIC,Inner East Melbourne,Core,28000,17
Intellectual Disability,0 to 6,VIC,Inner Gippsland,Capacity Building,38000,16
Intellectual Disability,0 to 6,VIC,Inner Gippsland,Core,40000,14
Intellectual Disability,0 to 6,VIC,North East Melbourne,Capacity Building,54000,26
Intellectual Disability,0 to 6,VIC,North East Melbourne,Core,25000,34
Intellectual Disability,0 to 6,VIC,Outer East Melbourne,Capacity Building,41000,14
Intellectual Disability,0 to 6,VIC,Outer East Melbourne,Core,21000,16
Intellectual Disability,0 to 6,VIC,Southern Melbourne,Capacity Building,44000,40
Intellectual Disability,0 to 6,VIC,Southern Melbourne,Core,41000,42
Intellectual Disability,0 to 6,VIC,Western Melbourne,Capacity Building,47000,20
Intellectual Disability,0 to 6,VIC,Western Melbourne,Core,43000,27
Intellectual Disability,15 to 18,VIC,Barwon,Capacity Building,44000,110
Intellectual Disability,15 to 18,VIC,Barwon,Core,46000,97
Intellectual Disability,15 to 18,VIC,Bayside Peninsula,Capacity Building,63000,91
Intellectual Disability,15 to 18,VIC,Bayside Peninsula,Core,67000,129
Intellectual Disability,15 to 18,VIC,Brimbank Melton,Capacity Building,70000,63
Intellectual Disability,15 to 18,VIC,Brimbank Melton,Core,91000,66
Intellectual Disability,15 to 18,VIC,Central Highlands,Capacity Building,40000,67
Intellectual Disability,15 to 18,VIC,Central Highlands,Core,84000,59
Intellectual Disability,15 to 18,VIC,Goulburn,Capacity Building,49000,39
Intellectual Disability,15 to 18,VIC,Goulburn,Core,30000,31
Intellectual Disability,15 to 18,VIC,Hume Moreland,Capacity Building,49000,79
Intellectual Disability,15 to 18,VIC,Hume Moreland,Core,72000,109
Intellectual Disability,15 to 18,VIC,Inner East Melbourne,Capacity Building,70000,49
Intellectual Disability,15 to 18,VIC,Inner East Melbourne,Core,90000,45
Intellectual Disability,15 to 18,VIC,Inner Gippsland,Capacity Building,37000,37
Intellectual Disability,15 to 18,VIC,Inner Gippsland,Core,44000,53
Intellectual Disability,15 to 18,VIC,Loddon,Capacity Building,34000,66
Intellectual Disability,15 to 18,VIC,Loddon,Core,42000,60
Intellectual Disability,15 to 18,VIC,Mallee,Capacity Building,35000,41
Intellectual Disability,15 to 18,VIC,Mallee,Core,43000,26
Intellectual Disability,15 to 18,VIC,North East Melbourne,Capacity Building,51000,107
Intellectual Disability,15 to 18,VIC,North East Melbourne,Core,44000,101
Intellectual Disability,15 to 18,VIC,Outer East Melbourne,Capacity Building,55000,59
Intellectual Disability,15 to 18,VIC,Outer East Melbourne,Core,54000,73
Intellectual Disability,15 to 18,VIC,Outer Gippsland,Capacity Building,61000,20
Intellectual Disability,15 to 18,VIC,Outer Gippsland,Core,111000,22
Intellectual Disability,15 to 18,VIC,Ovens Murray,Capacity Building,45000,35
Intellectual Disability,15 to 18,VIC,Ovens Murray,Core,39000,33
Intellectual Disability,15 to 18,VIC,Southern Melbourne,Capacity Building,65000,112
Intellectual Disability,15 to 18,VIC,Southern Melbourne,Core,76000,127
Intellectual Disability,15 to 18,VIC,Western District,Capacity Building,33000,43
Intellectual Disability,15 to 18,VIC,Western District,Core,33000,48
Intellectual Disability,15 to 18,VIC,Western Melbourne,Capacity Building,57000,106
Intellectual Disability,15 to 18,VIC,Western Melbourne,Core,65000,88
Intellectual Disability,19 to 24,VIC,Barwon,Capacity Building,77000,191
Intellectual Disability,19 to 24,VIC,Barwon,Core,54000,174
Intellectual Disability,19 to 24,VIC,Bayside Peninsula,Capacity Building,109000,126
Intellectual Disability,19 to 24,VIC,Bayside Peninsula,Core,60000,207
Intellectual Disability,19 to 24,VIC,Brimbank Melton,Capacity Building,96000,103
Intellectual Disability,19 to 24,VIC,Brimbank Melton,Core,47000,144
Intellectual Disability,19 to 24,VIC,Central Highlands,Capacity Building,86000,97
Intellectual Disability,19 to 24,VIC,Central Highlands,Core,107000,112
Intellectual Disability,19 to 24,VIC,Goulburn,Capacity Building,84000,44
Intellectual Disability,19 to 24,VIC,Goulburn,Core,40000,68
Intellectual Disability,19 to 24,VIC,Hume Moreland,Capacity Building,101000,77
Intellectual Disability,19 to 24,VIC,Hume Moreland,Core,53000,145
Intellectual Disability,19 to 24,VIC,Inner East Melbourne,Capacity Building,117000,90
Intellectual Disability,19 to 24,VIC,Inner East Melbourne,Core,86000,98
Intellectual Disability,19 to 24,VIC,Inner Gippsland,Capacity Building,89000,54
Intellectual Disability,19 to 24,VIC,Inner Gippsland,Core,48000,87
Intellectual Disability,19 to 24,VIC,Loddon,Capacity Building,81000,86
Intellectual Disability,19 to 24,VIC,Loddon,Core,67000,107
Intellectual Disability,19 to 24,VIC,Mallee,Capacity Building,83000,52
Intellectual Disability,19 to 24,VIC,Mallee,Core,68000,53
Intellectual Disability,19 to 24,VIC,North East Melbourne,Capacity Building,93000,138
Intellectual Disability,19 to 24,VIC,North East Melbourne,Core,108000,163
Intellectual Disability,19 to 24,VIC,Outer East Melbourne,Capacity Building,109000,91
Intellectual Disability,19 to 24,VIC,Outer East Melbourne,Core,70000,145
Intellectual Disability,19 to 24,VIC,Outer Gippsland,Capacity Building,102000,27
Intellectual Disability,19 to 24,VIC,Outer Gippsland,Core,49000,45
Intellectual Disability,19 to 24,VIC,Ovens Murray,Capacity Building,71000,55
Intellectual Disability,19 to 24,VIC,Ovens Murray,Core,62000,64
Intellectual Disability,19 to 24,VIC,Southern Melbourne,Capacity Building,107000,162
Intellectual Disability,19 to 24,VIC,Southern Melbourne,Core,91000,240
Intellectual Disability,19 to 24,VIC,Western District,Capacity Building,79000,51
Intellectual Disability,19 to 24,VIC,Western District,Core,56000,82
Intellectual Disability,19 to 24,VIC,Western Melbourne,Capacity Building,76000,137
Intellectual Disability,19 to 24,VIC,Western Melbourne,Core,55000,155
Intellectual Disability,25 to 34,VIC,Barwon,Capacity Building,78000,172
Intellectual Disability,25 to 34,VIC,Barwon,Core,98000,154
Intellectual Disability,25 to 34,VIC,Bayside Peninsula,Capacity Building,103000,214
Intellectual Disability,25 to 34,VIC,Bayside Peninsula,Core,126000,211
Intellectual Disability,25 to 34,VIC,Brimbank Melton,Capacity Building,58000,155
Intellectual Disability,25 to 34,VIC,Brimbank Melton,Core,101000,95
Intellectual Disability,25 to 34,VIC,Central Highlands,Capacity Building,90000,82
Intellectual Disability,25 to 34,VIC,Central Highlands,Core,127000,95
Intellectual Disability,25 to 34,VIC,Goulburn,Capacity Building,67000,63
Intellectual Disability,25 to 34,VIC,Goulburn,Core,92000,59
Intellectual Disability,25 to 34,VIC,Hume Moreland,Capacity Building,95000,110
Intellectual Disability,25 to 34,VIC,Hume Moreland,Core,96000,138
Intellectual Disability,25 to 34,VIC,Inner East Melbourne,Capacity Building,116000,108
Intellectual Disability,25 to 34,VIC,Inner East Melbourne,Core,139000,130
Intellectual Disability,25 to 34,VIC,Inner Gippsland,Capacity Building,86000,89
Intellectual Disability,25 to 34,VIC,Inner Gippsland,Core,61000,112
Intellectual Disability,25 to 34,VIC,Loddon,Capacity Building,85000,99
Intellectual Disability,25 to 34,VIC,Loddon,Core,95000,115
Intellectual Disability,25 to 34,VIC,Mallee,Capacity Building,86000,41
Intellectual Disability,25 to 34,VIC,Mallee,Core,57000,50
Intellectual Disability,25 to 34,VIC,North East Melbourne,Capacity Building,85000,173
Intellectual Disability,25 to 34,VIC,North East Melbourne,Core,113000,155
Intellectual Disability,25 to 34,VIC,Outer East Melbourne,Capacity Building,99000,121
Intellectual Disability,25 to 34,VIC,Outer East Melbourne,Core,100000,151
Intellectual Disability,25 to 34,VIC,Outer Gippsland,Capacity Building,77000,35
Intellectual Disability,25 to 34,VIC,Outer Gippsland,Core,101000,56
Intellectual Disability,25 to 34,VIC,Ovens Murray,Capacity Building,65000,58
Intellectual Disability,25 to 34,VIC,Ovens Murray,Core,103000,48
Intellectual Disability,25 to 34,VIC,Southern Melbourne,Capacity Building,99000,158
Intellectual Disability,25 to 34,VIC,Southern Melbourne,Core,133000,174
